episode,step,action_id,action_name,reward,terminated,truncated,ball_visible,ball_distance,ball_bearing,base_yaw,base_x,base_y,base_z,is_fallen,kick_success,ball_x,ball_y,ball_vx,ball_vy,goal_x,goal_y,goal_visible,goal_distance,goal_bearing,ball_to_goal_distance,ep_return_running,ep_min_ball_distance,ep_kick_attempts,ep_kick_successes
0,0,2,step_forward,0.03478165231645107,0,0,1,0.29073047637939453,0.04890500381588936,-0.0346699096262455,0.039297139455068214,0.005867377416196388,0.21212183846138122,0,0,0.33,0.01,5.377786249586518e-19,2.12752986106633e-18,1.43,0.0,1,1.3907133340835571,0.030455106869339943,1.1000454536063498,0.03478165231645107,0.29073047637939453,0,0
0,1,2,step_forward,0.026328488066792485,0,0,1,0.26724761724472046,0.08411090075969696,-0.08523061126470566,0.0627525989193936,0.010305588208454028,0.2121207824135826,0,0,0.33,0.01,1.6698966705649991e-18,2.2295021064765717e-18,1.43,0.0,1,1.367286205291748,0.07769792526960373,1.1000454536063498,0.061110140383243555,0.26724761724472046,0,0
0,2,2,step_forward,0.025878184288740155,0,0,1,0.2447720766067505,0.11215885728597641,-0.12906599044799805,0.085263297880621,0.01414497420514511,0.21212234358215284,0,0,0.33,0.01,2.6485169842577768e-18,1.799624192584974e-18,1.43,0.0,1,1.3448114395141602,0.11855264753103256,1.1000454536063498,0.08698832467198371,0.2447720766067505,0,0
0,3,2,step_forward,0.026169189065694806,0,0,1,0.22226683795452118,0.13986238837242126,-0.17195425927639008,0.10784827091202609,0.017138584519593193,0.21212255075635997,0,0,0.33,0.01,3.494451489134627e-18,1.8426763934854076e-18,1.43,0.0,1,1.3222633600234985,0.1589975208044052,1.1000454536063498,0.11315751373767852,0.22226683795452118,0,0
0,4,2,step_forward,0.026813034713268277,0,0,1,0.19964036345481873,0.16724811494350433,-0.21363131701946259,0.13057541104584722,0.019263618448962398,0.21212083293051476,0,0,0.33,0.01,4.225690332768406e-18,2.0093181955076847e-18,1.43,0.0,1,1.2995682954788208,0.1988130509853363,1.1000454536063498,0.1399705484509468,0.19964036345481873,0,0
0,5,3,turn_left,0.07542631477117538,0,0,1,0.15832361578941345,0.24692946672439575,-0.19760650396347046,0.17188405154374314,0.0020876497651122925,0.21150256173521767,0,0,0.33,0.01,4.7279422305661026e-18,1.573133115422737e-18,1.43,0.0,1,1.2581329345703125,0.1958625167608261,1.1000454536063498,0.2153968632221222,0.15832361578941345,0,0
0,6,3,turn_left,0.10798551216721534,0,0,1,0.14034666121006012,0.07477407902479172,-0.13619886338710785,0.18990048779559382,0.01843479311571219,0.21234805802046555,0,0,0.33,0.01,5.176084860705069e-18,1.7320162702451927e-18,1.43,0.0,1,1.2402217388153076,0.12118861079216003,1.1000454536063498,0.32338237538933756,0.14034666121006012,0,0
0,7,5,kick_left,-0.06785279385512695,0,0,1,0.15398047864437103,-0.0014091272605583072,0.208905890583992,0.17909641453683028,-0.021455847081700462,0.2117096944930478,0,0,0.33,0.01,5.967976280931949e-18,1.6408650140392462e-18,1.43,0.0,1,1.250866174697876,-0.1915397047996521,1.1000454536063498,0.2555295815342106,0.14034666121006012,1,0
0,8,2,step_forward,-0.17788874708348884,0,0,1,0.16762162744998932,-0.14805743098258972,0.06351444870233536,0.16297357589767242,0.02416006377325695,0.21211734574736288,0,0,0.33,0.01,6.363843343463598e-18,1.762701065872577e-18,1.43,0.0,1,1.2672531604766846,-0.08257600665092468,1.1000454536063498,0.07764083445072179,0.14034666121006012,1,0
0,9,4,turn_right,0.21154055548249745,0,0,1,0.12064284831285477,0.0008065531146712601,-0.07996677607297897,0.20970628931209204,0.019456316604686483,0.20891936576642436,0,0,0.33,0.01,6.643451952836142e-18,2.1440448849561693e-18,1.43,0.0,1,1.2204214334487915,0.06395511329174042,1.1000454536063498,0.28918138993321924,0.12064284831285477,1,0
0,10,5,kick_left,9.199543077225098,0,0,1,0.2706926763057709,0.30132177472114563,-0.10915841162204742,0.19592042788472389,-0.042898639292798704,0.21206487505208352,0,1,0.46173004938649514,0.008537944659572059,0.10583320169560236,7.773254080318105e-20,1.43,0.0,1,1.2347346544265747,0.14412018656730652,0.968307592534567,9.488724467158317,0.12064284831285477,2,1
0,11,3,turn_left,-0.4898181587457657,0,0,1,0.3850787878036499,0.2658692002296448,-0.21226729452610016,0.19619930029841207,-0.0123423603986911,0.2093820290483,0,0,0.5808292888052453,0.008537944659572059,0.07498509200660285,1.0084578872695202e-18,1.43,0.0,1,1.2337557077407837,0.22206933796405792,0.8492136322798964,8.99890630841255,0.12064284831285477,2,1
