Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,350,485,485,705,275,665,365,200,750,490,500,500,500,885,155,830,170,500,500,70,930,500,500
2,200,515,515,705,260,655,340,205,765,500,510,500,500,885,165,830,170,500,500,70,930,500,500
3,350,515,515,725,295,635,335,245,800,500,510,500,500,845,115,830,170,500,500,70,930,500,500
4,200,485,485,740,295,660,345,235,795,490,500,500,500,835,115,830,170,500,500,70,930,500,500
