Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,240,485,485,660,355,540,515,295,670,490,500,470,500,885,155,830,170,500,500,70,930,500,500
2,150,515,515,660,340,520,490,310,680,500,510,470,500,885,165,830,170,500,500,70,930,500,500
3,240,530,515,645,335,485,470,330,685,500,510,500,480,845,115,830,170,500,500,70,930,500,500
4,150,485,485,660,340,510,490,320,680,490,500,500,470,835,115,830,170,500,500,70,930,500,500
