Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,300,515,525,625,370,485,503,320,665,500,500,500,530,900,100,830,170,500,500,70,930,500,500
2,250,485,485,630,365,485,520,320,665,500,500,500,530,900,100,830,170,500,500,70,930,500,500
3,200,485,485,650,365,500,520,335,665,500,510,500,500,900,100,830,170,500,500,70,930,500,500
4,350,515,520,630,370,485,520,320,680,500,510,500,500,900,100,830,170,500,500,70,930,500,500
