Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,400,480,480,640,360,500,500,330,670,480,480,500,500,835,165,830,200,500,500,70,930,500,500
2,400,520,520,640,360,500,500,330,670,520,520,500,500,835,165,800,170,500,500,70,930,500,500
3,400,480,480,640,360,500,500,330,670,480,480,500,500,835,165,830,200,500,500,70,930,500,500
4,400,520,520,640,360,500,500,330,670,520,520,500,500,835,165,800,170,500,500,70,930,500,500
5,200,500,500,640,360,500,500,330,670,500,500,500,500,835,165,830,170,500,500,70,930,500,500
