Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,500,540,570,640,360,460,540,350,650,480,510,500,500,885,115,830,170,500,500,70,930,500,500
2,500,540,560,640,267,460,465,350,631,480,510,500,500,885,115,830,170,500,500,70,930,500,500
3,200,540,528,640,469,460,545,350,761,480,510,500,500,885,115,830,170,500,500,70,930,500,500
4,200,540,528,640,469,460,545,350,761,480,510,500,500,885,115,830,170,500,500,70,930,500,500
5,500,540,570,640,360,460,540,350,670,480,500,500,500,885,115,830,170,500,500,70,930,500,500
6,600,500,500,640,360,507,493,290,710,500,500,500,499,875,125,835,165,500,500,40,960,500,500
