Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,200,500,500,630,370,485,515,330,670,500,500,500,500,845,115,830,170,500,500,70,930,500,500
2,200,485,485,638,360,496,515,320,670,500,500,500,500,845,115,830,170,500,500,70,930,500,500
3,250,475,485,630,355,520,515,285,670,490,500,500,500,885,155,830,170,500,500,70,930,500,500
4,150,515,515,625,335,505,490,290,680,500,510,500,500,885,165,830,170,500,500,70,930,500,500
5,200,515,515,630,360,485,505,330,700,500,510,500,500,845,115,830,170,500,500,70,930,500,500
6,200,500,500,630,370,485,510,330,695,500,500,500,500,845,115,830,170,500,500,70,930,500,500
