Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,240,480,490,600,355,500,515,280,670,490,500,480,500,900,200,830,170,500,500,70,930,500,500
2,150,515,515,625,340,505,490,290,680,500,510,480,500,885,180,830,170,500,500,70,930,500,500
3,240,510,510,645,365,485,485,330,725,510,510,500,480,800,100,830,170,500,500,70,930,500,500
4,150,490,490,660,375,510,495,320,710,490,500,500,480,820,120,830,170,500,500,70,930,500,500
