Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,500,500,500,830,170,740,260,120,880,500,500,500,500,835,165,500,500,500,500,500,500,500,500
2,300,500,500,830,170,740,260,120,880,500,500,500,500,330,670,500,500,500,500,500,500,500,500
3,200,500,500,830,170,740,260,120,880,500,500,500,500,330,670,500,500,500,500,125,875,500,500
4,400,500,500,830,170,740,260,120,880,500,500,500,500,330,670,875,125,500,500,125,875,500,500
5,400,500,500,830,170,740,260,120,880,500,500,500,500,600,400,860,140,500,500,170,830,500,500
6,500,500,500,700,300,740,260,120,880,500,500,500,500,600,400,860,140,500,500,300,700,500,500
7,400,500,500,640,360,500,500,330,670,500,500,500,500,835,165,830,170,500,500,70,930,500,500
