Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,500,500,500,660,340,650,350,420,580,500,500,500,500,1000,0,500,500,500,500,550,450,500,500
2,300,500,500,660,340,650,350,420,580,500,500,500,500,1000,0,500,500,500,500,550,450,500,500
3,300,500,500,690,310,650,350,420,580,500,500,500,500,1000,0,800,200,500,500,550,450,500,500
4,500,500,500,690,310,650,350,420,580,500,500,500,500,1000,0,800,200,500,500,550,450,500,500
5,500,500,500,650,350,650,350,420,580,500,500,500,500,900,100,850,150,500,500,550,450,500,500
6,200,500,500,650,350,650,350,420,580,500,500,500,500,900,100,850,150,500,500,550,450,500,500
7,300,500,500,760,253,700,300,420,580,500,500,500,500,900,100,850,150,500,500,550,450,500,500
8,300,500,500,800,200,650,350,420,580,500,500,500,500,900,100,800,200,500,500,550,450,500,500
9,500,500,500,640,360,500,500,330,670,500,500,500,500,835,165,830,170,500,500,70,930,500,500
