Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,200,515,515,625,335,505,490,290,680,500,510,500,500,885,165,830,170,500,500,70,930,500,500
2,200,485,485,625,355,495,515,300,655,490,500,500,500,885,155,830,170,500,500,70,930,500,500
3,200,480,485,655,381,500,510,320,700,490,500,500,500,835,115,830,170,500,500,70,930,500,500
4,200,515,515,645,375,485,485,330,715,500,510,500,500,845,115,830,170,500,500,70,930,500,500
