Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,1000,500,500,640,360,500,500,330,670,500,500,500,500,835,600,830,500,500,500,70,800,500,500
2,200,500,500,640,360,500,500,330,670,500,500,500,500,835,600,830,500,500,500,70,800,500,500
3,300,500,500,640,360,500,500,330,670,500,500,500,500,835,600,830,500,500,500,70,950,500,500
4,300,500,500,640,360,500,500,330,670,500,500,500,500,835,600,830,500,500,500,70,800,500,500
5,300,500,500,640,360,500,500,330,670,500,500,500,500,835,600,830,500,500,500,70,950,500,500
6,300,500,500,640,360,500,500,330,670,500,500,500,500,835,600,830,500,500,500,70,800,500,500
7,100,500,500,640,360,500,500,330,670,500,500,500,500,835,600,830,500,500,500,70,800,500,500
8,1000,500,500,640,360,500,500,330,670,500,500,500,500,835,165,830,170,500,500,70,930,500,500
