Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,240,475,485,580,355,490,515,260,670,490,500,500,500,885,155,830,170,500,500,70,930,500,500
2,120,515,515,625,340,505,490,290,680,500,510,500,500,885,165,830,170,500,500,70,930,500,500
3,240,515,525,645,420,485,500,330,750,500,510,500,500,845,115,830,170,500,500,70,930,500,500
4,120,485,485,660,375,510,495,320,710,490,500,500,500,835,115,830,170,500,500,70,930,500,500
