Index,Time,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6,Servo7,Servo8,Servo9,Servo10,Servo11,Servo12,Servo13,Servo14,Servo15,Servo16,Servo17,Servo18,Servo19,Servo20,Servo21,Servo22
1,300,475,485,630,375,497,515,335,680,500,500,470,500,900,100,830,170,500,500,70,930,500,500
2,250,515,515,635,370,480,515,335,680,500,500,470,500,900,100,830,170,500,500,70,930,500,500
3,200,515,515,635,350,480,500,335,665,490,500,500,500,900,100,830,170,500,500,70,930,500,500
4,350,480,485,630,370,480,515,320,680,490,500,500,500,900,100,830,170,500,500,70,930,500,500
